year,prtp,scc
2048,0.055,34.97057
2049,0.055,35.49749
2050,0.055,36.038754
2023,0.0575,14.879811
2024,0.0575,15.457559
2025,0.0575,16.059584
2026,0.0575,16.690128
2027,0.0575,17.351152
2028,0.0575,18.041769
2029,0.0575,18.758955
2030,0.0575,19.50033
2031,0.0575,20.261152
2032,0.0575,21.051214
2033,0.0575,21.869308
2034,0.0575,22.712847
2035,0.0575,23.580135
2036,0.0575,24.470654
2037,0.0575,25.378973
2038,0.0575,26.292318
2039,0.0575,27.19061
2040,0.0575,28.043581
2041,0.0575,28.801239
2042,0.0575,29.4587
2043,0.0575,30.074265
2044,0.0575,30.677977
2045,0.0575,31.25386
2046,0.0575,31.799833
2047,0.0575,32.320618
2048,0.0575,32.822807
2049,0.0575,33.320953
2050,0.0575,33.83323
